onset,w2v,bert
1.34,0.0,0.0
1.51,0.8822834756065838,0.43524339982111904
1.82,0.9237252236861438,0.14756419161213996
2.33,0.7723581883461414,0.07039492017559468
3.07,0.7429885538700207,0.06984030522091578
3.68,0.8065042741621392,0.1418265178909217
3.93,1.1459626386147685,0.1575240601240364
4.3,0.8695438312797835,0.12033847072688764
4.53,1.0047345056446368,0.11606459802732261
4.98,0.6545551104024467,0.12872371733897348
5.31,0.7976206624844782,0.17145048519514672
5.58,0.7208827360590312,0.12079519457170307
6.99,0.9645859223059995,0.5115787834895142
7.39,0.8847044813566523,0.45243081390470796
7.67,0.6450077739034168,0.211001435084057
7.93,0.9215272333268695,0.15527161054965855
9.05,1.0781126465173252,0.18812588888770598
9.31,0.8989384221347021,0.12468216950995537
9.68,0.6263790110199199,0.12298984413961478
9.88,0.8604526327287988,0.09922342174086962
12.16,0.6478650000578767,0.4589012183228337
13.08,0.7650829398022057,0.2992968778912106
13.63,0.9379469546747587,0.13382204646116758
14.68,0.7955368034176907,0.10135966362466076
15.22,0.6984091435076097,0.12441868615368656
15.74,0.830543327979637,0.10749996404755802
16.08,0.6124285518778236,0.09121424422804147
16.81,0.7462183678775537,0.097797645486561
17.09,0.929438100806628,0.11469613469086681
18.81,0.8100836200082562,0.36705370282520755
19.73,0.6405648573886653,0.03374692823015457
20.41,0.2815779150356821,0.32197642248782554
21.79,0.9950390885975533,0.11375147775241568
22.2,0.8435597528107922,0.05519057840543329
22.57,1.0255049348941376,0.09089113645312585
22.81,0.8683657151470616,0.07535346935002973
23.25,0.7258937727761328,0.06446643473850433
24.9,0.8871638148331094,0.40326668982537506
25.58,0.925166242570949,0.1371723464445218
26.14,0.8076767383434778,0.11588058000339319
26.44,1.0312504303219807,0.09624240961148056
26.9,0.9231077793594121,0.12146178026570065
27.33,0.8040619205077425,0.0888770069671907
27.7,0.5583018736282422,0.09013020885778067
28.54,0.8287317266073291,0.08181636578179885
28.77,0.6333457282115852,0.1016139616218028
30.33,0.8690806979391077,0.4739906384430206
30.74,0.8919596249470583,0.17801680792222374
31.23,0.9606643284022075,0.13161838614001165
31.4,0.7413056090234524,0.05739754814446696
32.63,0.959056596610394,0.04109980623031384
32.9,0.9684941853599455,0.045032130269033854
33.18,0.7770558938996629,0.044195901650615266
34.77,0.9587316532709313,0.530244324438039
35.0,0.9601612948148306,0.04139091160377972
36.48,0.8804283129839431,0.5500894596045066
37.11,0.9591174835820968,0.10595404267138775
37.51,0.9310568302512823,0.07458552138857077
38.24,0.883659147914018,0.06672467714364594
38.64,0.9826500956899925,0.06549946567877796
38.82,0.8109506001933869,0.045233870746873794
39.7,0.9771682503266214,0.21942926236355165
