onset,w2v,bert
1.45,0.0,0.0
1.9,0.8230263834942426,0.12670049396457317
2.33,0.7354447462610647,0.10323311022268011
2.59,0.9017681246097565,0.06217241586164102
3.0,0.7220086739617766,0.042417404705287653
3.64,0.6289626274710538,0.047304848568215485
4.44,0.5594843959965045,0.050179364498417534
4.76,0.7810732770521829,0.04655911078038877
5.93,0.7491065544847728,0.051354193976991924
6.45,0.43476824689546123,0.041676867448709576
8.09,0.7410807261659809,0.27758863112430665
8.5,0.8297334693116585,0.3601691456974311
9.68,0.9388429733012139,0.12971487305247442
9.87,0.8709820310692921,0.07734065491233555
10.45,0.6366532161315835,0.048994213315126434
11.18,0.986547957116121,0.06566616362810085
11.5,0.934729389037923,0.0717835639474036
12.15,0.581935393679414,0.05860969872123367
12.65,0.801988289558921,0.05231948310137313
13.19,0.8180776986229246,0.05627669037312577
13.69,0.9042741791902429,0.09511352272092966
14.25,0.6369940088681842,0.0737942380847254
14.74,0.8252329563837811,0.11863963372824604
14.92,0.7171940283037093,0.11384515011457497
15.78,0.7872538518910457,0.07812475147077702
16.11,0.725814721753288,0.08911387628613021
16.42,0.7293080813894288,0.08554381809632794
17.09,0.6142981802196151,0.06599763079542242
18.31,0.8759413188556212,0.5785412172386911
18.96,0.8372542505746801,0.08603952560645434
19.3,0.9869065525608075,0.05003882750914346
20.76,0.6923554202770262,0.5002969480658713
21.13,0.8767995574581624,0.11623592765120283
21.51,0.8842293606329117,0.05718142011786331
22.9,0.44674476445131583,0.3670071854829233
23.42,0.6691161510211681,0.287964258452888
23.99,1.0621534726068187,0.10870601417798098
24.14,0.661080579904485,0.06615180269628529
24.51,0.6964873665067198,0.059707506204029204
24.96,0.6833581390592959,0.052457477208783465
25.77,0.807981810351813,0.05110610173919927
26.42,0.9822030184923478,0.08098981884044432
27.54,0.8693849560690217,0.07677121540491427
30.02,0.5269392561311721,0.37762563013920414
30.23,0.9394213213729607,0.16117744852933025
31.07,0.5542056102813169,0.06419271663610482
31.64,1.0579652876499948,0.05086018280389437
32.15,0.7525130439264562,0.036372010186971115
33.53,0.832423151812593,0.6751169835101567
33.92,1.0080188054496557,0.411661997040755
34.54,0.9820639275210641,0.1202577734485899
35.59,0.8778901416443767,0.5228992262536108
35.93,0.8401150154339578,0.051752201394945185
36.47,0.8492907510109657,0.06191191984127342
36.95,0.9472272601059445,0.03702925219097386
38.71,0.913258704359872,0.33037222922977616
39.2,1.0459592022641124,0.15297118027100232
39.98,0.8679899228351559,0.08355108049081172
40.26,0.8631182081253712,0.07958213079485654
40.92,0.8928043088109433,0.07178155449310841
41.33,0.9755641831155771,0.08920715594510664
41.5,0.8992127840364699,0.1147718834533974
41.69,0.9028772814817744,0.06860791152936596
43.34,1.039109154969589,0.3257599808164209
43.79,0.9936720258978299,0.12936032090540195
44.12,1.0730961906509515,0.08979364448640614
44.26,0.9733537642728987,0.11080652568360216
44.44,1.0456007363820907,0.08406033850495764
44.79,0.9263881541316388,0.16855103813637617
46.99,0.5893013397958751,0.3928815632248164
47.36,1.072067844893795,0.1797156915052046
47.5,0.9732411533572284,0.11911718824340856
47.66,1.045374992833678,0.0672793809936032
48.02,0.9256270086404923,0.037646250826443683
49.81,0.8306784911810173,0.4893090494610616
50.68,0.7979783878476809,0.16846383244615026
50.93,0.8878429655798074,0.10498750187909056
53.06,0.8874589249526226,0.5337386772313566
53.56,0.6834969898857375,0.12743396427902565
55.33,0.6392397097914153,0.43182823537484594
55.75,0.9498127219903739,0.19490535056861336
56.14,0.8628956760380865,0.06574425576515086
57.41,1.0906182225623693,0.5479601100331628
57.92,0.9980851083552031,0.13606119998352662
58.2,0.9135435930739944,0.05639340878679988
58.47,0.7344564547046766,0.03259113151401338
58.89,0.7192691768247234,0.02965583478856537
60.14,0.9458916897403772,0.4211285318289998
60.52,0.816148092469166,0.07336898010300874
60.69,1.103349609415193,0.03577723351032325
62.04,0.3198869499092243,0.2641385036469881
62.36,0.816148092469166,0.07175051922548703
62.51,1.103349609415193,0.04276103061734715
63.06,0.9920721404198123,0.04486792959883468
63.59,0.6469726683054701,0.04318453207534301
64.23,1.0238472983425972,0.0371541745192111
64.67,0.8677999994386532,0.03863930321136588
67.39,0.8912546185668437,0.5537401893524508
67.72,0.9014647361239105,0.3855350073825835
68.01,0.9737891095140722,0.19376093218289958
68.64,0.8759192768340567,0.09422654359424854
69.13,0.8399682781261932,0.15087896352433505
69.54,0.8864746419433314,0.0642280098498983
70.67,0.9438769234157379,0.05690094170054616
71.13,0.8604153854426958,0.08264721472908665
71.5,0.8060753175214299,0.07064418587878962
71.74,0.9133150291078559,0.14885678189309337
71.94,0.9754324300232216,0.09832078548653622
72.38,0.7959888535364686,0.11939611655611349
72.82,0.7634867102190906,0.09536640542843888
74.41,0.7073569072644474,0.30648279767627695
75.16,0.6548657638571378,0.17906973245974012
75.4,0.9611830450674163,0.09286416469945147
75.63,0.8005466256240426,0.06063564803843258
76.68,0.8707087736348307,0.044612648299978575
76.96,0.8349581293425155,0.07104433587976322
77.25,0.5166514436579104,0.048540462126175354
77.62,0.63788433552276,0.054999370227844735
77.89,0.39046394983090726,0.04215490476937922
78.54,0.539090753384207,0.041704768117829305
79.23,0.7236588021487275,0.03942449795162417
79.95,0.6619991730177555,0.044612648299978575
80.22,0.52776276809292,0.0368663699805738
81.44,0.9465034922861061,0.4027989141517637
81.79,0.8917274283576276,0.09522949066854491
82.34,0.9895781523245255,0.09204413538125367
82.68,0.9416275679131738,0.06304511350898068
83.19,0.817182356520074,0.05506852535605744
83.56,0.934325166655818,0.052488398181796736
83.83,0.8789064863630888,0.05927136118884224
84.35,0.8204629830665978,0.028989510310363897
84.91,0.7994191135421036,0.04907938084623631
85.27,0.6219611165524729,0.03749939224798715
87.02,0.5031996117659363,0.35182083304190415
87.28,0.9955989876993921,0.1665202084963766
87.46,0.8722677528698026,0.06736376798115229
88.05,0.8807553140035143,0.061111105868180804
88.47,0.8056918648205129,0.05473489603267878
88.94,0.6332654096429001,0.04746756518300477
89.65,0.5747118632185811,0.04197989252246237
89.85,0.4535772153429529,0.06736376798115229
90.1,0.7152528671990084,0.06539501800754477
90.49,0.44862301616523614,0.08389395960295976
91.56,0.8155775955090828,0.07020513198606348
92.15,1.0010732719814754,0.07526497372987062
92.47,0.2883042086062102,0.06736376798115229
93.23,0.7806515830862718,0.05401891316366436
93.97,0.5287280498668864,0.056821544149622816
94.45,0.5497368315471883,0.07072326714760213
94.94,0.7844428973056945,0.18551409059966883
96.1,0.6146566879534897,0.3825369546370624
96.39,0.9074334025729182,0.39564672772374165
96.86,0.8477674079819448,0.10275959534668533
97.61,1.0382913382583079,0.10609914269963872
97.89,0.8528288634659427,0.09221414252909521
98.23,0.7256107512026304,0.1023836181525919
98.59,0.9502736642581489,0.09067598926189435
99.04,0.8594091582094338,0.09967079784023447
99.43,0.639792816425665,0.08590887834652827
100.38,0.8840968714658825,0.09903984407208433
100.74,0.8095231444757394,0.09542730355143336
102.38,0.6244503760593367,0.4119716465910481
102.84,0.8870844926631875,0.14834449979561137
103.81,0.8482727598300548,0.1198633270769418
104.53,0.9939449074334148,0.13837056182908536
106.31,0.8987176929193884,0.08802868551360743
106.84,0.8742416102395119,0.11067994729596264
107.21,0.8338427301385737,0.11271655346456577
109.85,0.7712421672613065,0.4481367851109185
111.14,0.0,0.2885456906866968
111.63,0.7188394183185759,0.09970366210313852
112.26,0.828169886007919,0.039143171436618496
113.54,0.9398377581511589,0.4863528802211343
113.97,1.0778751370327262,0.4280228549129894
114.56,0.9002664709021218,0.19824988211417494
116.92,0.9424192782211054,0.6472927196520795
117.33,1.0879176634456922,0.4628289081530328
120.31,0.9888909349877087,0.2480912567728606
122.64,0.8784276455664308,0.12849712278179515
123.25,0.7179967391090718,0.13177746773407628
123.54,0.7301439588737847,0.11829338099967313
123.98,0.6047732030782687,0.11657393699885776
124.2,0.8037668520532181,0.10913786073443954
124.45,0.7693276459386421,0.14331548788883053
124.89,0.7958237766059134,0.14501883060498955
125.12,0.9751614672925051,0.14453887304920077
125.66,0.7666042412463271,0.6458928967964477
125.75,1.1082494035596446,0.3940651022840618
126.06,1.0148535774299587,0.1491682815424613
126.19,0.7716086149158732,0.21250505117995233
127.68,0.7297324099475923,0.12061142054906171
128.29,0.902455448606958,0.0741345826765869
128.54,0.7622181759928437,0.107230009661758
129.77,0.6961413278513473,0.11490204277624516
130.62,0.7354297845168896,0.4239573371139105
130.98,0.7283023940617563,0.21133062895817223
131.47,0.7705415532124469,0.0907362478151249
132.06,0.7279949848802837,0.054138558783253465
132.27,0.9731171198142234,0.09382701873127097
133.06,0.9035956868708284,0.07997472287574692
134.28,0.9843467187694539,0.07113809803061266
135.85,0.9740439715453608,0.08305240390791324
136.2,0.9608737343255578,0.08790146741534066
136.63,0.9217245008499059,0.10788512473177425
137.23,0.7842015085018024,0.13348490588346762
137.62,0.8920904086664688,0.4414718042904009
137.91,1.0174055387591043,0.2524841727116951
138.17,1.055176307203556,0.1260137439826633
138.76,1.2078445711379577,0.08251016317333315
139.07,0.7587285774595659,0.11021110915314791
140.25,0.9719926643251421,0.08039260995698938
140.65,0.7463330036739104,0.07773469163952407
141.24,0.8637213214031911,0.5695618822104418
141.44,0.9367645090880297,0.22512331383395756
141.76,1.043455725233829,0.17403160495558478
142.38,0.9733101362284216,0.12414672212743649
142.66,1.1277308654426323,0.13637156463756106
143.49,0.9243702086780257,0.0877501683140236
145.31,0.9274795715544419,0.5582797996047585
145.58,0.9254324148560245,0.2624678130503961
145.79,0.9871566221983811,0.09672991591305369
146.29,1.120716738391703,0.09064208529376416
146.89,1.0110463376381675,0.09282095487757536
147.21,0.8081025973119987,0.0766170256337938
147.56,0.8264562089275707,0.05458276587675759
148.26,0.7127457486054067,0.09401392242330475
149.4,1.007435868181435,0.59413836276628
149.61,1.0316054244752897,0.45322801891818476
150.68,1.0321565320087502,0.1378377483294544
152.52,0.8425827388138075,0.537671906912963
153.33,0.37689970422779484,0.1256617169475317
153.81,0.7451987661535924,0.05555021264685178
154.71,0.1481523987886859,0.30843838891396114
155.44,0.7174985690878788,0.05642216362357788
156.49,1.0207416701560417,0.7217240419485871
156.94,0.9960313806200635,0.0804516389415959
157.28,0.7690328781724579,0.03945988468849437
160.2,0.8833585609842111,0.7542640766854319
160.4,1.031793036628583,0.047760243774587985
161.5,0.7935727328176461,0.05434893203728475
162.15,0.921379215911516,0.040466130308793424
163.19,0.8107233765232729,0.39788938459735634
163.44,0.9157374028588159,0.16339090642569043
164.16,0.8340203586568846,0.038677527738865236
166.99,1.1793602932836191,0.38795351234083064
167.3,0.9181652349003606,0.13006913175612833
167.92,1.0406064218004,0.12344700525923147
168.12,0.8215433994259554,0.07856578299776507
168.63,0.868300557418813,0.05726713010295803
170.07,0.8774095585917416,0.45480461316996856
171.86,0.8105234576682863,0.5694729116742356
172.14,1.2445269460546624,0.08933657817394558
172.67,0.8569175181504863,0.07774080379641135
172.87,0.8602313716579966,0.04264195046593844
173.63,0.9257531101052776,0.09756050547305417
174.4,0.9178367178514305,0.04542312800160486
174.73,0.7559705042839816,0.05411540675983284
174.98,0.994202869804168,0.06525962038459354
176.2,0.6053794434538344,0.37216341655480467
177.14,0.9163619212045989,0.12520878253633594
177.38,0.9046232418713397,0.19721147114573145
177.58,0.878191317990737,0.11714535648050917
177.96,0.8017368083353844,0.07251155152145694
178.75,0.9715766886519848,0.07336713525381466
179.03,0.7366920169135467,0.07500535581006418
179.44,0.903491589990376,0.04985746438288463
180.61,0.5906193288511938,0.4047437222705301
181.73,0.6966332397799627,0.1913430806668277
182.13,1.088770252668379,0.09361984655522448
